text,label,true,predicted,probability,type
reply fix question message account status warning help warning fix,label_1,0,1,0.7984211926763897,FP
please response account system access update thanks question urgent info message feedback,label_1,1,0,0.49638466909730294,FN
access fix request access reply info feedback,label_1,1,0,0.42310972687771536,FN
reply report feedback error urgent response update,label_1,0,1,0.6652912038132365,FP
problem help error update request note thanks system update,label_1,1,0,0.4469871959662552,FN
note access delay policy please reply access system feedback review warning,label_1,0,1,0.6503944297546524,FP
message error warning review response thanks response check please content problem policy issue feedback message,label_1,1,0,0.4529254088532089,FN
note notice problem info please thanks thanks support notice,label_1,1,0,0.3026954663504954,FN
info feedback status access help request support response issue please error error report,label_1,1,0,0.4295479943632444,FN
delay delay message error thanks problem,label_1,1,0,0.30214712226680424,FN
urgent error support message question support request,label_1,0,1,0.6823044596597545,FP
error update support update system account,label_1,0,1,0.5404663582374644,FP
info warning system message info system feedback help message policy support account info content,label_1,0,1,0.6610091493498785,FP
access reply problem account error review error support support,label_1,0,1,0.5310714830551504,FP
check info urgent notice issue problem issue check feedback status note status warning request update,label_1,0,1,0.6518157150384155,FP
message access please system support policy content note check support thanks update thanks,label_1,1,0,0.43068665213124063,FN
policy issue message info delay please thanks access question help status info account,label_1,1,0,0.31711383170963237,FN
message question update note response request system urgent reply warning note support info,label_1,0,1,0.7335858604178296,FP
request help delay issue delay thanks delay delay policy question feedback,label_2,0,1,0.5711913061558967,FP
error system feedback thanks urgent access feedback fix account update review please request warning,label_2,0,1,0.6966913120419599,FP
response issue problem issue reply support note system policy content,label_2,0,1,0.6918104033912436,FP
report status check content reply,label_2,0,1,0.626010094354434,FP
response info access delay report policy help response notice issue support error review problem note,label_2,0,1,0.8187599247814678,FP
account please status question thanks update warning help review content notice please,label_2,1,0,0.39876343179585994,FN
please problem fix help update message response error thanks message problem delay,label_2,0,1,0.8435930607381565,FP
check note thanks message request,label_2,1,0,0.4147869240479831,FN
reply delay issue notice warning,label_2,0,1,0.6168174508295285,FP
thanks issue help content system content access,label_2,0,1,0.5554588166207582,FP
note access delay policy please reply access system feedback review warning,label_2,0,1,0.5982289774922455,FP
